State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.49977	1.55772	1.54806	1.55910	1.56600	1.58255	1.60739	1.65016	1.73432	1.73432	1.71087	1.72191	1.65154	1.74950	1.70811	1.74398	1.75778	1.79365	1.74122	1.73984	1.70811
2	1.73999	1.70393	1.76704	1.76253	1.82113	1.84142	1.95637	2.00821	2.02173	2.07582	2.10963	2.04201	2.07132	2.02624	1.97891	1.94961	1.90678	1.90678	1.82564	1.88875	1.88650
3	3.88884	3.68953	3.79648	3.71384	3.60689	3.44162	3.36870	3.32495	3.14996	2.97982	2.82913	2.79996	2.92149	2.67357	2.74163	2.63469	2.68330	2.76593	2.81454	2.83885	2.88746
4	3.01251	2.95165	2.64127	2.48304	2.39175	2.41001	2.25786	2.03877	2.06920	1.92314	1.75882	1.78925	1.58842	1.61885	1.69188	1.76491	1.85011	1.77708	1.86228	1.83794	1.78316
5	0.72611	0.73846	0.73352	0.73969	0.68289	0.65572	0.64708	0.70017	0.67918	0.65695	0.60632	0.59521	0.56187	0.56434	0.55569	0.55322	0.55322	0.56187	0.56928	0.58039	0.58904
6	1.85461	1.60275	1.80309	1.68288	1.80309	1.62564	1.71150	1.68288	1.60847	1.64282	1.35089	1.61419	1.31082	1.37378	1.36806	1.48826	1.56840	1.43675	1.41385	1.40813	1.26502
7	2.88056	2.89697	2.90502	2.92391	2.91834	2.93072	2.91865	2.91555	2.90967	2.89573	2.89945	2.86694	2.87035	2.83877	2.80905	2.77313	2.73722	2.69480	2.66260	2.61461	2.58582
8	0.98897	0.97614	0.93126	0.91523	0.96012	0.94409	0.91363	0.85272	0.83990	0.81105	0.89600	0.85433	0.88157	0.86074	0.81906	0.82227	0.79983	0.83028	0.85112	0.85913	0.86074
9	0.56103	0.56064	0.55845	0.55952	0.56075	0.56244	0.56182	0.56115	0.56524	0.57438	0.58324	0.59182	0.59906	0.60590	0.61616	0.62334	0.62945	0.63730	0.64538	0.65340	0.65957
10	1.01477	1.01943	1.02385	1.01989	1.01943	1.02012	1.02758	1.02944	1.02012	1.01314	1.00033	0.99614	0.98916	0.98333	0.97891	0.97029	0.96866	0.96191	0.96005	0.95399	0.95842
11	1.59305	1.59690	1.59305	1.59305	1.59690	1.59690	1.59690	1.61619	1.56990	1.48119	1.41947	1.35004	1.34618	1.34618	1.31147	1.31532	1.31147	1.28061	1.29218	1.28061	1.29604
