State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.92416	2.17624	2.46608	2.84726	3.34900	3.94086	4.40607	4.28794	3.73505	3.64615	3.58404	2.67799	2.43564	2.62927	2.84361	2.77785	2.47339	2.26149	2.02402	1.79628	1.59900
2	1.83620	1.82625	1.91578	2.02718	2.10278	2.12068	2.19628	2.36339	2.24999	2.07294	1.93567	1.82029	1.58156	1.46618	1.48010	1.60941	1.73673	1.70689	1.66114	1.59151	1.64721
3	4.39786	4.96422	6.25998	8.17359	11.17271	16.32572	24.61086	35.88654	48.53951	56.26258	60.14128	58.30920	51.08812	40.46890	29.83251	21.27706	14.94844	10.62781	7.74882	5.79230	4.49225
4	5.81218	6.76834	7.77822	9.19635	10.90455	12.02724	11.74791	11.18925	9.66369	6.70925	5.25889	11.75328	19.24143	27.56219	33.29917	34.59375	31.98310	27.41178	23.00162	19.53150	16.66838
5	1.65238	1.52813	1.37662	1.10849	0.83055	0.63654	0.51119	0.42945	0.39566	0.40220	0.42945	0.41528	0.40983	0.45015	0.55152	0.87197	1.55320	2.40773	3.23937	3.81705	4.28682
6	1.77843	1.70265	1.79864	1.63697	1.43487	1.12163	0.78312	0.70228	0.51029	0.46482	0.57597	0.45977	0.49008	0.50524	0.70733	1.30351	1.85927	2.48576	2.70302	2.94553	3.14257
7	1.07560	1.03680	0.98843	0.92475	0.84906	0.75259	0.64383	0.54545	0.48315	0.45473	0.43806	0.44161	0.46429	0.48943	0.53589	0.63427	0.75614	0.87338	0.98487	1.07478	1.15102
8	1.40911	1.42325	1.29875	1.23792	1.09786	0.89130	0.73002	0.61118	0.51639	0.47112	0.41453	0.44424	0.49234	0.58996	0.90828	1.42325	2.06131	2.55931	2.85358	3.14927	3.23557
9	0.73690	0.72676	0.70928	0.68458	0.64617	0.59132	0.51826	0.43179	0.35858	0.32269	0.30531	0.30477	0.31779	0.33675	0.36194	0.38620	0.40644	0.42100	0.43401	0.44510	0.45302
10	1.25453	1.24796	1.24467	1.24015	1.23727	1.22514	1.19966	1.15403	1.09011	1.04325	1.01756	1.02619	1.07264	1.12115	1.16020	1.18486	1.20788	1.22001	1.22494	1.22083	1.21836
11	0.62985	0.58219	0.51750	0.50388	0.48345	0.48686	0.46984	0.44600	0.44600	0.45962	0.51409	0.48345	0.48686	0.50388	0.50729	0.49367	0.47324	0.49026	0.49367	0.50729	0.54814
