State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	2.51992	3.30213	1.60790	1.13780	1.71105	3.58415	2.84230	0.54756
2	1.54259	0.87066	1.79287	1.43160	2.10985	1.93573	1.85883	0.34910
3	0.71524	65.52932	8.71518	1.43783	2.82942	60.13884	22.37862	0.35994
4	0.57129	6.99895	3.02983	2.20807	1.75900	5.25906	14.06135	0.14820
5	2.81551	0.09947	0.96389	2.30286	0.60639	0.42946	1.18603	0.16588
6	0.60740	0.23870	2.57243	2.17041	1.35103	0.57599	1.25934	0.28209
7	11.22983	0.60371	3.10210	2.06774	2.89913	0.43807	0.75672	0.35845
8	2.16912	0.31830	0.94005	2.27351	0.89449	0.41454	1.22989	0.22136
9	61.99632	0.19788	0.45947	0.68801	0.58330	0.30532	0.50405	1.15179
10	14.93141	1.25580	0.93712	0.89241	1.00044	1.01759	1.26898	1.37269
11	0.90137	0.61516	1.76290	0.77861	1.41962	0.51411	0.51496	0.76851
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
