State (Emission order)	H3K9me3	H3K27me3	H2AFZ	H3K4me3	H3K4me2	H3K27ac	H3K4me1	H4K20me1	H3K79me2	H3K9ac	H3K36me3
1	0.003503348270131483	0.0053619533726022945	0.14280624981074488	0.016648865536384526	0.11003528219084738	0.09418751605877683	0.24070443650073206	0.06908708712769185	0.0	0.0	0.008165469145021816
2	0.0026873925002667276	2.004191863914775E-4	0.2116272952149233	0.09380599048482553	0.43452973089399166	0.8986568693273973	0.5867695287878006	0.1190553983051318	0.0	0.0	0.028198585840546783
3	0.0034392042888226476	0.072410466917065	0.7850067088926546	0.6586527407133999	0.7433141871634796	0.4242855142126548	0.0946207426765909	0.03845404198631766	0.0	0.0	0.0022935612424809407
4	0.004815170678813501	0.0028171111788116484	0.16903534158762043	0.42914803668552026	0.7531954779931719	0.47851246393972346	0.3437350459984192	0.24834146494896733	1.0	1.0	0.04927449664585827
5	0.004341082869153394	1.5813909598260076E-4	9.6092571647859E-4	0.0024063184188263366	0.009747671463251088	0.00908491619030583	0.03419064536038404	0.3285916852738737	1.0	1.0	0.04495224658417433
6	0.028144842239980736	0.007626082389569451	0.0069002916700914565	0.004951374064960098	0.002806676800104271	0.008302512876511863	0.01854154862515053	0.10406791402338265	1.0	1.0	0.14284000642786815
7	0.002936203104821475	4.2379501918444736E-4	7.133349606818748E-4	0.001559041798517715	7.09088552120916E-4	0.0018827980932787781	0.0049401548018606104	0.0678349056302651	0.0	0.0	0.08115118049779318
8	0.0015717964214289931	4.227417973506044E-4	7.005126197707051E-4	0.00223929281430428	0.01115539573513055	0.008302101660188405	0.021629367111080603	0.1632496790744426	0.0	0.0	0.02065496074745231
9	0.005326209536444453	0.00897435634700968	0.003088858891765159	8.264020957789028E-4	2.0049172144739633E-4	1.3646345035017524E-6	4.101903546650633E-4	0.020436847029214684	0.0	0.0	0.0013028917976393728
10	0.014487275163717808	0.393256078099975	0.009260441320968918	0.0016600212842814415	0.00114072626312774	2.415824968474384E-4	0.0023499509233460155	0.030042494265312934	0.0	0.0	0.0014574944706814076
11	0.388772483899719	0.04643702402577705	0.014942853746761763	0.014356604193540934	0.001184420441330859	0.002256250773536299	8.837811053003297E-4	0.04853446742507004	0.0	0.0	0.030106940975847075
